label,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X
3,-14.54861636,-2.546153699,-1.364847328,2.547500159,4.484857955,6.374591951,3.512696263,-3.352003075,-0.051594108,2.081868161,0.219836863,0.372786273,-1.009751933,0.981325719,0.428420956,3.598214486,0.551788917,2.53405191,-0.841600359,1.556116444,0.658295586,-0.655565778,0.041554437,-0.074555423
3,-15.05664211,-1.842875047,-1.12674255,2.051034015,3.294889306,5.818736974,3.100127064,1.868419587,0.013420722,1.050400681,0.901567654,0.415262516,-0.598125777,-0.390061212,-0.682132663,3.627925137,-3.075664425,-3.635761923,-1.710233125,4.51229753,0.037140214,-0.110916506,0.208269096,-0.20296232
3,-15.00872378,-0.756188396,1.334223717,3.65857976,0.926778253,2.98976269,2.82719663,2.170804791,-1.060411387,1.287988336,0.211350262,0.254178006,1.807893176,-0.746044022,-1.157706217,-0.378796313,-4.777210931,-3.671070812,-1.164599198,1.801797473,-0.097801667,-1.654461807,-0.037184084,-0.33626362
3,-13.74991704,-1.736716529,-2.099407646,2.769696674,-1.562720195,-0.432797754,1.886313359,2.98949832,-0.141809696,1.322700349,0.302481606,-0.051341212,2.278327686,-2.376332008,-0.924495701,-0.347069029,-2.405030262,-0.342371902,-0.838730339,-2.253233932,0.475402858,-1.936984614,-0.03801347,-0.098693611
3,-12.49013913,-3.718298992,-2.615074106,1.619974361,-0.252153691,3.993753097,2.37270432,-1.209846233,-0.120681399,-0.535974384,0.463603761,0.101692707,1.866068459,-2.123519559,-1.254704474,-2.149354092,-1.223304221,-1.551323639,-1.107259167,-0.282644631,0.152678824,-1.710769408,0.447763117,0.22889579
3,-12.8984429,-3.926317761,-0.538837191,2.549733171,0.276809885,4.803183917,2.069277712,0.178894201,0.256660015,-0.94309488,0.718420699,0.343464749,1.160369919,0.489445277,0.951828824,0.518344678,1.561292952,-3.375039458,-0.332921888,1.389179319,-0.865151652,-1.353922288,0.252150129,0.269004076
3,-12.63535816,-2.846667119,-1.328118221,0.544530374,-1.827943117,-1.955213604,1.074825704,3.152139904,-1.030628008,-0.145268161,0.675025391,0.40011871,-0.655224741,1.323555574,0.772490352,2.241900407,2.933514119,-3.080786129,0.443938933,4.206639041,-0.861080736,0.583310539,0.120083081,0.087565227
3,-11.93675264,-1.43836455,-1.315142352,4.084935685,1.567113947,-2.52087359,2.035869835,2.89227423,-0.98456387,-0.903536194,0.574995985,0.2029519,-1.141858381,0.424144825,-1.196981709,0.212662348,2.405931761,0.378345006,4.80207157,3.272832564,1.455956953,1.868314465,0.363875016,0.004703384
3,-13.95382137,-2.976942236,-1.068185998,4.215223715,3.502965457,3.034602657,3.055316658,3.743422315,-0.79169056,0.319212082,0.71544074,0.303296972,-0.893622726,-0.801452133,0.170810319,0.958990847,-0.627216679,1.496457865,3.479273696,1.584274351,2.995343591,1.558935312,1.108204143,0.176556325
3,-13.95199887,-3.224962964,-2.464275865,1.033380023,1.220253238,2.875793295,8.28213959,4.792501842,2.321126721,1.627136695,1.244025549,0.398930694,-0.603472019,-0.472468803,0.233758898,-2.886589937,-4.520947804,-0.68458763,1.378025593,-0.138973298,1.907100609,1.60671138,1.181339269,0.215578065
